Hisse,Son,Al��,Sat��,Fark,En D���k,En Y�ksek,AOF,Hacim TL,Hacim Lot
YATAS,40.94,40.80,40.94,-0.0135,40.64,42.12,41.44,37471809,904209
YAYLA,25.6,25.58,25.60,-0.031,25.58,26.7,25.92,28869242,1113832
YBTAS,17.2,17.20,17.21,0.0275,16.03,17.2,16.65,2035283,122259
YEOTK,112.9,112.90,113.00,-0.0044,112.5,117.6,115.17,1108586989,9625822
YESIL,1.49,1.49,1.50,-0.0132,1.49,1.52,1.5,29863393,19935609
YGGYO,214,214.00,214.40,0.0038,211.9,219.4,215.15,36341307,168912
YIGIT,26.2,26.20,26.22,0.0077,25.46,27.1,26.42,279500915,10577571
YKBNK,33.6,33.60,33.62,-0.0455,33.6,35.5,34.24,5585983894,163122643
YKSLN,3.4,3.40,3.41,-0.0202,3.39,3.51,3.46,27624442,7992449
YONGA,59.8,59.55,59.80,-0.0033,59.8,60.1,60,753525,12559
YUNSA,10.19,10.19,10.21,-0.0211,10.08,10.53,10.32,76295417,7394403
YYAPI,1.01,1.01,1.02,0.01,0.98,1.01,1,6111989,6121590
YYLGD,11.46,11.46,11.47,-0.0112,11.44,11.67,11.53,68751574,5963174
ZEDUR,10.69,10.69,10.70,0.0085,10.45,11.1,10.79,52797913,4893262
ZERGY,16.9,16.90,-,0.0995,15.24,16.9,16.19,784169368,48434570
ZGYO,40.58,40.56,40.58,0.0217,39,41.78,40.68,331890019,8158360
ZOREN,3.03,3.03,3.04,0,3,3.06,3.03,142231446,47025602
ZRGYO,16.91,16.86,16.91,-0.0024,16.8,17.22,16.98,86764187,5109299
